canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,target_chembl_id,type,units,value
C[C@H](NC(=O)CCc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL2370859,,IC50,nM,330000.0,CHEMBL1808,I50,M,0.00033
CC(NC(C(=O)O)C1CCCN1C(=O)c1ccccc1)C(=O)N1CCCC1C(=O)O,CHEMBL335997,8.54,IC50,nM,2.9,CHEMBL1808,I50,nM,2.9
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL1560,7.89,IC50,nM,12.9,CHEMBL1808,IC50,nM,12.9
C[C@H](N[C@@H](C[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL2112768,8.52,IC50,nM,3.0,CHEMBL1808,I50,nM,3.0
NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,CHEMBL295690,9.30,IC50,nM,0.5,CHEMBL1808,IC50,nM,0.5
CC(NC(C(=O)O)C1CCCN1C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,CHEMBL263460,8.54,IC50,nM,2.9,CHEMBL1808,I50,nM,2.9
CC(=O)N1CCCC1C(NC(C)C(=O)N1CCCC1C(=O)O)C(=O)O,CHEMBL342652,8.03,IC50,nM,9.4,CHEMBL1808,I50,nM,9.4
C[C@H](NC(CNC(=O)c1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL2111941,7.40,IC50,nM,40.0,CHEMBL1808,I50,nM,40.0
C[C@H](N[C@H](C(=O)O)[C@@H]1CCCN1)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL3037879,6.16,IC50,nM,700.0,CHEMBL1808,I50,nM,700.0
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](CCCCN)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,CHEMBL415881,6.70,IC50,nM,200.0,CHEMBL1808,IC50,nM,200.0
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL577,8.59,IC50,nM,2.6,CHEMBL1808,IC50,nM,2.6
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,CHEMBL1733,8.54,IC50,nM,2.9,CHEMBL1808,IC50,nM,2.9
O=C(N[C@@H](Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,CHEMBL435360,7.92,IC50,nM,12.0,CHEMBL1808,I50,M,1.2E-8
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2ccccc2CC1C(=O)OCC,CHEMBL412893,6.36,IC50,nM,440.0,CHEMBL1808,IC50,uM,0.44
CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1Cc2ccccc2C1C(=O)O,CHEMBL58480,8.51,IC50,nM,3.1,CHEMBL1808,IC50,uM,0.0031
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL578,6.85,IC50,nM,140.0,CHEMBL1808,IC50,uM,0.14
COc1cc2c(cc1OC)CN(C(=O)C(C)NC(CCc1ccccc1)C(=O)O)C(C(=O)O)C2,CHEMBL58042,8.52,IC50,nM,3.0,CHEMBL1808,IC50,uM,0.003
CC(CS)C(=O)N1Cc2ccccc2C1C(=O)O,CHEMBL62203,4.85,IC50,nM,14000.0,CHEMBL1808,IC50,uM,14.0
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O,CHEMBL1165,7.25,IC50,nM,56.0,CHEMBL1808,IC50,uM,0.056
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2cc(OC)c(OC)cc2CC1C(=O)OCc1ccccc1,CHEMBL58340,6.52,IC50,nM,300.0,CHEMBL1808,IC50,uM,0.3
CC(=O)SCCC(=O)N1Cc2ccccc2C1C(=O)OC(C)(C)C,CHEMBL59401,,IC50,nM,,CHEMBL1808,IC50,uM,
CCOC(=O)[C@@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O,CHEMBL2115075,5.96,IC50,nM,1100.0,CHEMBL1808,IC50,uM,1.1
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,CHEMBL1733,8.55,IC50,nM,2.8,CHEMBL1808,IC50,uM,0.0028
CC(=O)SCC(C)C(=O)N1Cc2ccccc2C1C(=O)O,CHEMBL57200,4.62,IC50,nM,24000.0,CHEMBL1808,IC50,uM,24.0
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL577,8.62,IC50,nM,2.4,CHEMBL1808,IC50,uM,0.0024
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2cc(OC)c(OC)cc2CC1C(=O)OCC,CHEMBL60702,6.28,IC50,nM,520.0,CHEMBL1808,IC50,uM,0.52
CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCc2ccccc2C1C(=O)O,CHEMBL61811,8.24,IC50,nM,5.8,CHEMBL1808,IC50,uM,0.0058
CCOC(=O)C(CCc1ccccc1)N(C)C(C)C(=O)N1Cc2ccccc2CC1C(=O)O,CHEMBL291552,,IC50,nM,10000.0,CHEMBL1808,IC50,uM,10.0
CC(CS)C(=O)N1CCc2ccccc2C1,CHEMBL59354,4.32,IC50,nM,48000.0,CHEMBL1808,IC50,uM,48.0
CCOC(=O)[C@@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,CHEMBL2114322,6.70,IC50,nM,200.0,CHEMBL1808,IC50,uM,0.2
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL1560,7.89,IC50,nM,13.0,CHEMBL1808,IC50,uM,0.013
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,CHEMBL1592,8.08,IC50,nM,8.3,CHEMBL1808,IC50,uM,0.0083
CC(=O)SCC(C)C(=O)N1CCc2ccccc2C1C(=O)O,CHEMBL57201,,IC50,nM,100000.0,CHEMBL1808,IC50,uM,100.0
CC(=O)SCC(C)C(=O)N1Cc2ccccc2CC1C(=O)O,CHEMBL58720,6.89,IC50,nM,130.0,CHEMBL1808,IC50,uM,0.13
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@@H]1C(=O)O,CHEMBL2115288,5.21,IC50,nM,6100.0,CHEMBL1808,IC50,uM,6.1
CC(CS)C(=O)N1CCc2ccccc2C1C(=O)O,CHEMBL61916,4.24,IC50,nM,58000.0,CHEMBL1808,IC50,uM,58.0
CC(=O)SCC(C)C(=O)N1CCc2ccccc2C1,CHEMBL57202,4.31,IC50,nM,49000.0,CHEMBL1808,IC50,uM,49.0
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2[C@H]1C(=O)O,CHEMBL2115478,7.36,IC50,nM,44.0,CHEMBL1808,IC50,uM,0.044
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2[C@@H]1C(=O)O,CHEMBL2115076,,IC50,nM,1000.0,CHEMBL1808,IC50,uM,1.0
O=C(O)C1c2ccccc2CN1C(=O)CCS,CHEMBL417226,4.24,IC50,nM,58000.0,CHEMBL1808,IC50,uM,58.0
CC(=O)SCCC(=O)N1Cc2ccccc2C1C(=O)O,CHEMBL61137,4.66,IC50,nM,22000.0,CHEMBL1808,IC50,uM,22.0
CC(CS)C(=O)N1Cc2ccccc2CC1C(=O)O,CHEMBL279737,7.75,IC50,nM,18.0,CHEMBL1808,IC50,uM,0.018
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@@H]1C(=O)O,CHEMBL3350318,4.05,IC50,nM,90000.0,CHEMBL1808,IC50,uM,90.0
C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,CHEMBL57338,,IC50,nM,190546.07,CHEMBL1808,Log 1/IC50,,3.72
NCCCC[C@H](N)C(=O)NCC(=O)O,CHEMBL91561,,IC50,nM,3235936.57,CHEMBL1808,Log 1/IC50,,2.49
NCC(=O)NCC(=O)O,CHEMBL292467,,IC50,nM,7244359.6,CHEMBL1808,Log 1/IC50,,2.14
O=C(O)CN1CCCCCC(NC(CCc2ccccc2)C(=O)O)C1=O,CHEMBL86518,5.77,IC50,nM,1700.0,CHEMBL1808,IC50,M,0.0000017
O=C(O)CN1CCCCCC(NC(CCc2ccccc2)C(=O)O)C1=O,CHEMBL86518,8.32,IC50,nM,4.8,CHEMBL1808,IC50,M,4.8E-9
CC[C@H](C)[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,CHEMBL91090,5.43,IC50,nM,3715.35,CHEMBL1808,Log 1/IC50,,5.43
CC[C@H](C)[C@H](N)C(=O)N1CCC[C@@H]1C(=O)O,CHEMBL94119,,IC50,nM,128824.96,CHEMBL1808,Log 1/IC50,,3.89
NCCCC[C@H](NC(=O)CN)C(=O)O,CHEMBL420061,,IC50,nM,5370317.96,CHEMBL1808,Log 1/IC50,,2.27
CC(C)[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,CHEMBL90069,4.66,IC50,nM,21877.62,CHEMBL1808,Log 1/IC50,,4.66
C[C@H](N)C(=O)N1CCC[C@@H]1C(=O)O,CHEMBL327608,,IC50,nM,229086.77,CHEMBL1808,Log 1/IC50,,3.64
CC(C)[C@H](N)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL439762,,IC50,nM,416869.38,CHEMBL1808,Log 1/IC50,,3.38
NCC(=O)N1CCC[C@H]1C(=O)O,CHEMBL80548,,IC50,nM,446683.59,CHEMBL1808,Log 1/IC50,,3.35
CC[C@H](C)[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,CHEMBL91330,,IC50,nM,933254.3,CHEMBL1808,Log 1/IC50,,3.03
NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,CHEMBL93127,,IC50,nM,3090295.43,CHEMBL1808,Log 1/IC50,,2.51
C[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)O,CHEMBL90074,,IC50,nM,10000000.0,CHEMBL1808,Log 1/IC50,,2.0
NC1CCN(CC(=O)O)C1=O,CHEMBL315579,,IC50,nM,,CHEMBL1808,IC50,M,
C[C@H](CS)C(=O)N1C[C@H](NC(=O)C(CS)Cc2ccccc2)C[C@H]1C(=O)O,CHEMBL91623,7.75,IC50,nM,18.0,CHEMBL1808,IC50,nM,18.0
CC(C)C[C@H](N)C(=O)N[C@@H](C)C(=O)O,CHEMBL541207,,IC50,nM,309029.54,CHEMBL1808,Log 1/IC50,,3.51
C[C@@H](O)[C@H](NC(=O)CN)C(=O)O,CHEMBL420983,,IC50,nM,5754399.37,CHEMBL1808,Log 1/IC50,,2.24
CC(C)[C@H](NC(=O)CN)C(=O)O,CHEMBL56035,,IC50,nM,4570881.9,CHEMBL1808,Log 1/IC50,,2.34
